country,id,ppp1990,ppp1995,ppp2000,ppp2005,le1990,le1995,le2000,le2005,cal1990,cal1995,cal2000,cal2005
Dominican Republic,214,3418.208224,4519.99262,6311.728017,7817.649359,67.95041463,69.7205122,70.63273171,71.69141463,2160,2200,2240,2270
Ecuador,218,4879.248886,5700.278037,5900.228253,7640.491523,68.83907317,71.2272439,73.35685366,74.629,2110,2250,2240,2300
Egypt,818,3897.155181,4784.551012,6191.796081,7622.312393,64.54907317,66.76019512,68.5912439,69.43114634,3090,3210,3230,3160
El Salvador,222,2881.665811,4078.157404,4966.929295,6149.12363,65.87890244,68.78097561,69.55878049,70.54639024,2400,2430,2630,2580
Eritrea,232,710.9046329,1049.545523,1146.278861,1185.812997,48.23595122,52.40460976,56.02653659,58.62678049,1530,1570,1520,1590
Estonia,233,6343.04489,6343.04489,9709.169408,16557.3702,69.47560976,67.54390244,70.41707317,72.56829268,2750,2990,3040,3140
Ethiopia,231,422.1738369,421.5876864,493.8424119,656.8570614,46.94495122,49.25834146,52.24114634,56.57180488,1550,1650,1840,1950
Fiji,242,3683.548414,4431.6533,5107.648007,6382.721763,65.57085366,66.63890244,67.60585366,68.49178049,2640,2770,2930,3000
Finland,246,17927.20985,19307.01064,26472.83176,32065.17072,74.81317073,76.4095122,77.46585366,78.81707317,3150,3060,3160,3220
France,250,17556.9655,20710.56278,25979.73224,30377.05598,76.6,77.75121951,79.05609756,80.16341463,3530,3530,3640,3530
Gabon,266,12387.59722,14247.25763,13822.15257,15032.3335,61.289,61.09470732,59.68802439,60.00914634,2520,2600,2660,2710
Gambia,270,981.4169692,1056.472423,1239.849891,1382.001043,52.217,53.55617073,55.17121951,56.76192683,2470,2240,2280,2330
Georgia,268,5187.543702,1677.054375,2590.825642,4199.161219,69.99960976,70.23373171,71.63034146,72.91070732,1850,2320,2500,2730
Germany,276,19054.66647,23110.80927,26600.11454,32141.53221,75.17736585,76.42195122,77.92682927,78.93170732,3390,3350,3480,3540
Ghana,288,1223.779522,1485.774848,1775.158241,2244.370803,56.75163415,57.50270732,56.98758537,58.70453659,2120,2480,2630,2900
Greece,300,13367.70196,15323.0406,19158.7949,25143.19881,76.93902439,77.58536585,77.88780488,79.23902439,3560,3510,3660,3710
Grenada,308,4845.004448,5489.592426,7649.931195,10589.28379,68.47502439,69.3175122,70.25312195,71.4067561,2470,2390,2300,2400
Guatemala,320,3438.650439,4258.915399,5003.583209,5765.276962,62.23841463,64.96297561,67.74121951,69.60897561,2290,2170,2140,2150
Guinea,324,729.6696396,765.3952396,902.7232878,1077.437347,49.91885366,51.69968293,51.24992683,52.74512195,2420,2440,2440,2550
Guinea-Bissau,624,1012.002347,1191.068592,1053.914891,1156.142564,49.07382927,50.56785366,51.44692683,52.38085366,2290,2210,2220,2270
Guyana,328,2090.122374,3307.789119,4019.733527,4576.664912,62.12219512,62.8525122,63.4847561,64.52917073,2300,2570,2780,2740
Haiti,332,1307.09,1221.58,1374.117115,1390.996528,54.42860976,56.09226829,57.42278049,59.28378049,1730,1780,1900,1850
Honduras,340,2073.562084,2440.479662,2760.418644,3518.187861,66.68904878,68.85787805,70.48414634,71.47331707,2300,2410,2510,2610
Hungary,348,8256.303604,9115.301624,12073.36395,17215.87413,69.31560976,69.79170732,71.24634146,72.64878049,3610,3280,3400,3470
Iceland,352,21903.24548,23850.88993,29684.9552,35986.3894,78.03634146,77.98439024,79.65365854,81.50243902,3090,3080,3170,3260
India,356,1149.404303,1509.96355,2019.991022,2904.31235,58.52919512,60.18856098,62.16185366,64.09758537,2290,2320,2260,2360
Indonesia,360,2778.872702,4211.925983,4400.615935,5796.10845,63.44934146,65.46607317,67.25121951,68.85443902,2390,2570,2480,2550
Iran,364,5615.045257,6976.585006,8476.238695,11742.02467,63.44595122,67.79543902,69.60770732,71.49331707,2970,3040,3060,3050
Ireland,372,13371.61515,18421.24617,29466.84688,40250.66393,74.74131707,75.57134146,76.53658537,78.94390244,3620,3610,3670,3590
Israel,376,13433.30971,19606.66765,24712.36631,24603.76068,76.60731707,77.45121951,78.95365854,80.15121951,3410,3460,3560,3530
