FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
28,Healthcare Support,3,260,9%,0.088186415,2494,28281,260,MS
28,Protective Service,3,281,9%,0.09061407,2513,27733,281,MS
28,Food Preparation and Serving Related,3,599,8%,0.083795189,5957,71090,599,MS
28,"Building and Grounds, Cleaning and Maintenance",3,450,11%,0.105433746,4977,47205,450,MS
28,Personal Care and Service,3,406,11%,0.106522244,5045,47361,406,MS
28,Sales and Related,3,1196,6%,0.058783703,7901,134408,1196,MS
28,Office and Administrative Support,3,1484,7%,0.073948519,10776,145723,1484,MS
28,"Farming, Fishing, and Forestry",3,102,7%,0.067420436,644,9552,102,MS
28,Construction and Extraction,3,604,9%,0.092931666,6725,72365,604,MS
28,"Installation, Maintenance, and Repair",3,431,10%,0.101715474,4696,46168,431,MS
28,Production,3,953,6%,0.05861902,6053,103260,953,MS
28,Transportation and Material Moving,3,851,10%,0.099876103,9351,93626,851,MS
28,Military Specific,3,58,4%,0.038950219,187,4801,58,MS
29,Management,3,2636,6%,0.056910145,15274,268388,2636,MO
29,Business and Financial Operations,3,1151,4%,0.040437436,4929,121892,1151,MO
29,Computer and Mathematical,3,646,4%,0.043122791,3075,71308,646,MO
29,Architecture and Engineering,3,359,5%,0.054597238,2032,37218,359,MO
29,"Life, Physical, and Social Science",3,196,5%,0.050794521,927,18250,196,MO
29,Community and Social Services,3,485,7%,0.074406595,3141,42214,485,MO
29,Legal,3,300,4%,0.043522851,1358,31202,300,MO
29,"Education, Training, and Library",3,1738,4%,0.037664405,6366,169019,1738,MO
29,"Arts, Design, Entertainment, Sports, and Media",3,430,5%,0.047814002,2219,46409,430,MO
29,Healthcare Practitioners and Technical,3,1712,4%,0.042534763,7268,170872,1712,MO
29,Healthcare Support,3,741,7%,0.070883537,5936,83743,741,MO
29,Protective Service,3,583,8%,0.081721085,4828,59079,583,MO
29,Food Preparation and Serving Related,3,1362,7%,0.068707216,11392,165805,1362,MO
29,"Building and Grounds, Cleaning and Maintenance",3,963,9%,0.088526884,8733,98648,963,MO
29,Personal Care and Service,3,929,8%,0.084288922,7696,91305,929,MO
29,Sales and Related,3,2795,6%,0.063449046,18870,297404,2795,MO
