city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
GSP,SJC,2211,8.48,$343.12,AA,30.8,$341.02,WN,26.9,$282.27
GSP,SNA,2031,24.35,$319.77,DL,50.0,$316.45,AA,15.6,$305.06
GSP,TPA,477,49.13,$223.54,US,49.8,$218.30,WN,13.3,$179.61
GTF,BUR,986,4.35,$204.38,DL,72.5,$208.31,UA,10.0,$192.97
GTF,LAX,1004,18.59,$255.08,DL,61.4,$272.91,AS,23.4,$194.41
GTF,LGB,1007,2.50,$223.83,DL,82.6,$218.40,DL,82.6,$218.40
GTF,OAK,870,4.67,$241.90,DL,81.4,$242.88,AS,18.6,$237.63
GTF,ONT,982,7.72,$222.93,DL,85.9,$229.81,AS,11.3,$187.19
GTF,SFO,881,11.52,$235.33,DL,43.4,$232.52,UA,34.0,$216.97
GTF,SJC,881,4.78,$299.41,DL,75.0,$305.15,AS,20.5,$254.81
GTF,SNA,1011,13.48,$228.67,DL,58.9,$234.75,AS,34.7,$219.22
GTR,EWR,939,2.93,$299.52,DL,100.0,$299.52,DL,100.0,$299.52
GTR,HPN,972,0.54,$284.59,DL,100.0,$284.59,DL,100.0,$284.59
GTR,JFK,955,0.43,$338.72,DL,75.0,$376.28,DL,75.0,$376.28
GTR,LGA,955,6.52,$300.33,DL,93.3,$296.67,DL,93.3,$296.67
HLN,BUR,919,2.28,$212.34,DL,85.7,$216.83,DL,85.7,$216.83
HLN,LAX,937,15.33,$240.84,DL,71.6,$229.98,DL,71.6,$229.98
HLN,LGB,940,0.98,$222.17,DL,100.0,$222.17,DL,100.0,$222.17
HLN,OAK,806,5.11,$213.53,DL,83.0,$213.31,DL,83.0,$213.31
HLN,ONT,915,4.89,$230.55,DL,71.1,$235.36,AS,22.2,$190.46
HLN,SFO,817,10.11,$259.80,DL,61.3,$247.96,DL,61.3,$247.96
HLN,SJC,817,6.20,$224.20,DL,70.2,$214.61,DL,70.2,$214.61
HLN,SNA,944,10.54,$225.58,DL,65.0,$228.95,AS,30.9,$213.90
HOU,BUR,1389,45.22,$248.67,WN,99.8,$248.95,WN,99.8,$248.95
HOU,CVG,886,11.74,$302.28,DL,88.0,$301.71,DL,88.0,$301.71
HOU,ECP,571,95.76,$204.76,WN,98.4,$203.96,WN,98.4,$203.96
HOU,EGE,955,0.22,$251.00,,0.0,$0.00,,0.0,"$9,999.00"
HOU,ELM,1339,0.43,$243.36,DL,75.0,$261.67,DL,75.0,$261.67
HOU,ERI,1202,0.22,$183.12,DL,50.0,$172.23,DL,50.0,$172.23
HOU,EVV,730,5.65,$322.16,DL,88.5,$326.97,DL,88.5,$326.97
HOU,EWN,1128,2.93,$223.96,DL,92.6,$227.72,DL,92.6,$227.72
HOU,EWR,1411,363.70,$199.29,WN,97.6,$198.42,WN,97.6,$198.42
HOU,EYW,903,17.28,$243.65,WN,92.5,$235.86,WN,92.5,$235.86
HOU,FAR,1194,0.87,$193.48,AA,75.0,$196.15,DL,25.0,$185.50
HOU,FAT,1494,4.78,$297.66,AA,93.2,$303.15,AA,93.2,$303.15
HOU,FAY,1026,9.02,$236.14,DL,94.0,$234.29,DL,94.0,$234.29
HOU,FLL,957,219.24,$241.52,WN,94.6,$240.91,WN,94.6,$240.91
HOU,FNT,1119,15.33,$204.55,DL,55.3,$183.33,DL,55.3,$183.33
HOU,FSD,964,5.22,$228.07,AA,68.8,$232.66,DL,25.0,$222.00
